,sound,qualiti,good,love,comfort,issu,never,replac,fall,disappoint,rating
0,good,poor,bad,bad,less,more,good,good,good,nice,negative
1,good,poor,bad,bad,less,less,better,good,better,nice,positive
2,best,better,better,good,less,less,best,good,best,nice,positive
3,better,better,better,bad,more,less,better,better,good,nice,negative
4,best,better,better,bad,more,less,better,good,good,nice,positive
5,better,best,bad,good,more,more,better,good,best,nice,negative
6,low,poor,bad,bad,less,less,good,good,good,nice,negative
7,low,poor,bad,bad,less,less,good,good,good,nice,negative
8,good,poor,bad,good,less,less,better,good,good,poor,positive
9,low,poor,bad,bad,less,less,good,good,good,nice,negative
10,low,poor,bad,bad,less,more,good,good,good,nice,negative
11,good,better,better,bad,less,more,good,good,good,poor,negative
12,good,best,better,bad,more,less,good,best,good,poor,positive
13,better,better,bad,bad,less,more,good,better,good,nice,negative
14,good,best,bad,bad,more,more,good,good,good,nice,positive
15,good,poor,bad,bad,less,more,good,better,better,nice,positive
16,good,better,better,good,less,less,good,good,good,nice,positive
17,low,better,bad,bad,less,less,good,good,good,nice,positive
18,better,better,better,bad,more,more,best,good,good,nice,positive
19,better,best,bad,bad,more,less,good,good,good,poor,positive
20,best,poor,bad,bad,more,more,best,good,good,nice,positive
21,best,best,better,good,less,more,better,better,good,poor,positive
22,better,better,bad,good,more,less,good,good,good,nice,negative
23,better,poor,better,good,less,less,good,good,good,nice,positive
24,better,better,bad,bad,more,less,good,good,better,nice,positive
25,low,poor,bad,bad,less,less,better,better,better,nice,negative
26,better,better,better,good,more,less,good,good,good,nice,negative
27,good,poor,bad,bad,less,less,good,good,good,poor,negative
28,best,best,better,bad,more,more,good,best,good,nice,positive
29,low,poor,better,good,less,more,good,good,good,nice,negative
30,low,poor,bad,bad,less,less,good,good,best,nice,negative
31,best,poor,bad,bad,less,more,good,good,best,poor,positive
32,best,best,bad,good,less,more,better,best,good,nice,positive
33,good,poor,better,good,less,less,better,good,good,nice,positive
34,best,best,bad,good,less,less,good,good,good,nice,positive
35,good,poor,bad,bad,more,more,good,best,good,nice,positive
36,good,best,better,bad,less,less,good,good,good,nice,positive
37,best,poor,bad,bad,more,more,good,better,good,poor,positive
38,good,best,better,bad,less,less,good,good,good,nice,positive
39,low,poor,bad,bad,more,more,good,good,good,nice,positive
40,best,best,better,bad,more,less,good,good,good,nice,positive
41,good,better,bad,good,less,less,good,good,good,nice,positive
42,best,better,better,bad,more,less,good,good,good,nice,positive
43,better,best,better,bad,less,less,good,good,good,nice,positive
44,better,best,bad,bad,more,less,better,good,good,nice,positive
45,best,better,better,bad,more,more,good,good,better,nice,positive
46,best,poor,better,good,more,less,good,good,best,nice,positive
47,low,poor,bad,bad,less,less,good,good,good,nice,positive
48,best,better,bad,good,less,less,good,good,good,poor,negative
49,better,better,bad,good,more,more,better,best,good,poor,negative
